Beveridge,Origin,Caffeine,Alcohol,Carbonation,Temperature,Image Link
Mango Iassi,India,No,No,No,Cold,https://www.cookwithmanali.com/wp-content/uploads/2017/05/Best-Mango-Mango-Lassi-Recipe.jpg
Red Bull,Austria,Yes,No,Yes,Cold,https://media.warriortrading.com/2022/04/04131227/shutterstock_1536802289.jpg
Yakult,Japan,No,No,No,Cold,https://healthreporter.com/app/uploads/is-yakult-healthy.jpg
Guinness,Ireland,No,Yes,No,Cold,https://media.diageocms.com/media/mold4yx5/your-guinness-your-way-pint-can-social-still1440.jpg
Pina colada,Puerto Rico,No,Yes,Yes,Cold,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/12/pina-colada.jpg
Cendol,Indonesia,No,No,No,Cold,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT9C4uGpwWKYnm-5w8WQuavlQiZ6Rarz5loGaMvT43Elk9eeCPH
Sujeonggwa,Korea,No,No,No,Cold,https://cdn.shopify.com/s/files/1/0062/8670/4730/articles/JvP_030322_137_II.jpg?v=1647625745
Fanta,Germany,No,No,Yes,Cold,https://media.istockphoto.com/id/477562540/photo/orange-fanta-can.jpg?s=612x612&w=0&k=20&c=NsviZAIWCuFeQ_eE-7BXXnAgIQf8FqlmLFv0ZTiaa50=
Shikuwasa juice,Japan,No,No,No,Cold,"https://img.jamieoliver.com/jamieoliver/recipe-database/8OJgE4RYKPmAJqMI4CnhQb.jpg?tr=w-800,h-1066"
Raksi,Nepal,No,Yes,No,Cold,https://images.slurrp.com/prod/rich_article/oi7bygviu5.webp
Coconut Water,Global,No,No,No,Cold,https://media.istockphoto.com/id/598054528/photo/coconut-water.jpg?s=612x612&w=0&k=20&c=OsQPEcMsp_ArkTYyZOTokN3mTfYdR4FJw2oAni7Mzlo=
Scotch whisky,Scotland,No,Yes,No,Cold,https://i0.wp.com/mossandfog.com/wp-content/uploads/2022/02/Reach-Mood-4.jpg?fit=1200%2C1815&ssl=1
Mojito,Cuba,No,Yes,No,Cold,https://www.foodandwine.com/thmb/e8AvEfBBfwjg3xmt6E__rRvSZlA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Mojito-FT-RECIPE1022-2000-85cdb1eb59454847b713713e32e365c0.jpg
Cider,England,No,Yes,Yes,Cold,https://cdn.britannica.com/42/228342-050-7694261A/Glasses-hard-apple-cider.jpg
Martini,United States,No,Yes,No,Cold,https://www.winemag.com/wp-content/uploads/2022/11/11_22_Dirty_Vodka_Martini_HERO_Ali_Redmond_1920x1280-700x461.jpg
